algorithm,n,exectime (ms)
quick-sort,1230,1.31193
heap-sort,1230,1.663611
merge-sort,1230,3.996685
quick-sort,1240,1.261616
heap-sort,1240,1.711077
merge-sort,1240,3.658407
quick-sort,1250,1.412687
merge-sort,1250,4.378431
heap-sort,1250,4.421958
quick-sort,1260,1.278903
heap-sort,1260,1.889409
merge-sort,1260,3.734374
quick-sort,1270,1.152178
heap-sort,1270,1.805114
merge-sort,1270,4.079465
quick-sort,1280,1.198483
heap-sort,1280,1.719698
merge-sort,1280,3.771924
quick-sort,1290,1.220196
heap-sort,1290,1.67516
merge-sort,1290,3.68418
quick-sort,1300,1.25193
heap-sort,1300,1.70589
merge-sort,1300,3.902058
quick-sort,1310,1.238587
heap-sort,1310,1.975068
merge-sort,1310,4.097298
quick-sort,1320,1.373822
heap-sort,1320,2.238813
merge-sort,1320,4.609484
quick-sort,1330,1.233513
heap-sort,1330,1.698828
merge-sort,1330,3.893813
quick-sort,1340,1.439452
heap-sort,1340,1.649618
merge-sort,1340,3.747295
quick-sort,1350,1.222794
heap-sort,1350,1.785851
merge-sort,1350,3.859283
quick-sort,1360,1.227263
heap-sort,1360,1.741656
merge-sort,1360,3.874745
quick-sort,1370,1.272453
heap-sort,1370,1.782296
merge-sort,1370,3.899958
quick-sort,1380,1.254874
heap-sort,1380,1.767613
merge-sort,1380,4.022779
quick-sort,1390,1.342484
heap-sort,1390,2.49438
merge-sort,1390,3.993718
quick-sort,1400,1.847889
heap-sort,1400,1.976839
merge-sort,1400,4.14111
quick-sort,1410,1.320336
heap-sort,1410,1.790997
merge-sort,1410,4.115724
quick-sort,1420,1.363646
heap-sort,1420,1.827734
merge-sort,1420,4.045742
quick-sort,1430,1.317076
heap-sort,1430,1.805719
merge-sort,1430,4.012257
quick-sort,1440,1.278678
heap-sort,1440,2.306109
merge-sort,1440,4.195784
quick-sort,1450,1.273622
heap-sort,1450,1.827768
merge-sort,1450,4.321051
quick-sort,1460,1.387676
heap-sort,1460,1.836326
merge-sort,1460,4.044795
quick-sort,1470,1.578026
heap-sort,1470,1.839672
merge-sort,1470,4.418526
quick-sort,1480,1.526719
heap-sort,1480,1.924953
merge-sort,1480,4.252755
quick-sort,1490,1.363318
heap-sort,1490,1.972315
merge-sort,1490,4.260541
quick-sort,1500,1.28743
heap-sort,1500,1.862722
merge-sort,1500,4.201455
quick-sort,1510,1.297588
heap-sort,1510,1.897319
merge-sort,1510,4.313929
quick-sort,1520,1.356397
heap-sort,1520,1.909497
merge-sort,1520,4.413012
quick-sort,1530,1.479227
merge-sort,1530,4.465401
heap-sort,1530,6.14388
quick-sort,1540,1.352023
heap-sort,1540,1.98558
merge-sort,1540,4.352676
quick-sort,1550,1.347471
heap-sort,1550,1.900568
merge-sort,1550,4.372178
quick-sort,1560,1.33317
heap-sort,1560,1.967491
merge-sort,1560,4.356461
quick-sort,1570,1.408578
heap-sort,1570,1.944959
merge-sort,1570,4.535152
quick-sort,1580,1.315291
heap-sort,1580,2.122308
merge-sort,1580,4.474867
quick-sort,1590,1.355608
heap-sort,1590,3.349086
merge-sort,1590,4.539141
quick-sort,1600,2.12026
heap-sort,1600,2.08704
merge-sort,1600,6.595985
quick-sort,1610,1.495858
heap-sort,1610,2.159252
merge-sort,1610,4.458991
quick-sort,1620,1.377646
heap-sort,1620,2.004891
merge-sort,1620,4.452159
quick-sort,1630,1.386002
heap-sort,1630,1.895802
merge-sort,1630,4.741478
quick-sort,1640,1.401892
heap-sort,1640,1.889628
merge-sort,1640,4.79188
quick-sort,1650,1.611665
merge-sort,1650,4.836772
heap-sort,1650,6.581287
quick-sort,1660,1.453929
heap-sort,1660,2.065795
merge-sort,1660,4.686222
quick-sort,1670,1.423687
heap-sort,1670,2.005984
merge-sort,1670,4.616892
quick-sort,1680,1.539036
heap-sort,1680,2.002966
merge-sort,1680,4.700663
quick-sort,1690,1.490296
heap-sort,1690,2.066518
merge-sort,1690,4.829531
quick-sort,1700,1.391592
heap-sort,1700,2.024223
merge-sort,1700,4.721903
quick-sort,1710,1.477842
heap-sort,1710,2.081342
merge-sort,1710,5.030786
quick-sort,1720,1.496649
heap-sort,1720,2.051412
merge-sort,1720,4.82354
quick-sort,1730,1.478361
heap-sort,1730,2.146122
merge-sort,1730,4.980193
quick-sort,1740,1.617823
heap-sort,1740,2.137809
merge-sort,1740,4.749375
quick-sort,1750,1.457083
heap-sort,1750,1.918814
merge-sort,1750,5.215758
quick-sort,1760,1.424984
heap-sort,1760,2.005538
merge-sort,1760,5.13255
quick-sort,1770,2.539652
heap-sort,1770,2.66526
merge-sort,1770,5.253707
quick-sort,1780,1.843884
heap-sort,1780,2.046029
merge-sort,1780,4.845446
quick-sort,1790,1.560351
heap-sort,1790,2.172547
merge-sort,1790,5.051233
quick-sort,1800,1.464533
heap-sort,1800,2.182378
merge-sort,1800,5.024761
quick-sort,1810,1.479965
heap-sort,1810,2.502552
merge-sort,1810,5.088701
quick-sort,1820,1.480815
heap-sort,1820,2.462851
merge-sort,1820,5.165653
quick-sort,1830,2.027151
heap-sort,1830,2.637722
merge-sort,1830,5.406441
quick-sort,1840,1.586906
heap-sort,1840,2.603129
merge-sort,1840,4.989596
quick-sort,1850,1.525877
heap-sort,1850,2.117368
merge-sort,1850,5.071166
quick-sort,1860,1.552616
heap-sort,1860,2.232477
merge-sort,1860,5.392466
quick-sort,1870,1.608117
heap-sort,1870,2.332977
merge-sort,1870,5.155811
quick-sort,1880,1.84832
heap-sort,1880,2.599437
merge-sort,1880,5.29084
quick-sort,1890,1.726134
heap-sort,1890,2.441792
merge-sort,1890,5.303965
quick-sort,1900,1.666347
heap-sort,1900,2.548475
merge-sort,1900,5.159866
quick-sort,1910,1.547104
heap-sort,1910,2.37944
merge-sort,1910,5.181343
heap-sort,1920,2.869643
quick-sort,1920,2.984186
merge-sort,1920,6.54746
quick-sort,1930,1.619481
heap-sort,1930,2.211133
merge-sort,1930,5.244353
quick-sort,1940,1.611463
heap-sort,1940,2.365997
merge-sort,1940,5.437945
quick-sort,1950,1.671767
heap-sort,1950,2.20221
merge-sort,1950,5.34329
quick-sort,1960,1.661807
heap-sort,1960,2.210006
merge-sort,1960,5.388769
quick-sort,1970,1.593048
heap-sort,1970,2.240258
merge-sort,1970,5.332706
quick-sort,1980,1.564049
heap-sort,1980,2.190544
merge-sort,1980,5.432244
quick-sort,1990,1.787091
heap-sort,1990,2.293905
merge-sort,1990,5.580429
quick-sort,2000,1.722677
heap-sort,2000,2.375837
merge-sort,2000,5.474911
quick-sort,2010,1.612436
heap-sort,2010,2.350216
merge-sort,2010,5.59425
quick-sort,2020,1.574034
heap-sort,2020,2.291137
merge-sort,2020,5.396368
quick-sort,2030,1.626563
heap-sort,2030,2.404427
merge-sort,2030,5.53167
quick-sort,2040,2.257307
heap-sort,2040,2.467313
merge-sort,2040,5.77334
quick-sort,2050,1.680404
heap-sort,2050,2.392921
merge-sort,2050,5.73089
quick-sort,2060,1.715412
heap-sort,2060,2.259063
merge-sort,2060,6.425019
quick-sort,2070,1.780567
heap-sort,2070,2.423873
merge-sort,2070,5.749649
quick-sort,2080,1.623877
heap-sort,2080,2.346369
merge-sort,2080,5.850911
quick-sort,2090,1.796092
heap-sort,2090,2.449655
merge-sort,2090,6.601555
quick-sort,2100,1.759023
heap-sort,2100,2.720103
merge-sort,2100,5.849979
quick-sort,2110,1.743695
heap-sort,2110,2.398622
merge-sort,2110,5.879504
quick-sort,2120,1.873969
heap-sort,2120,2.428215
merge-sort,2120,6.659479
quick-sort,2130,1.720222
heap-sort,2130,2.325603
merge-sort,2130,6.069548
quick-sort,2140,1.792384
heap-sort,2140,2.552833
merge-sort,2140,6.168627
quick-sort,2150,1.74442
heap-sort,2150,2.336261
merge-sort,2150,6.109837
quick-sort,2160,1.760647
heap-sort,2160,2.474129
merge-sort,2160,6.119285
quick-sort,2170,1.683356
heap-sort,2170,3.141265
merge-sort,2170,6.467202
quick-sort,2180,1.908165
heap-sort,2180,4.206193
merge-sort,2180,6.709372
quick-sort,2190,1.843072
heap-sort,2190,2.422165
merge-sort,2190,6.668968
quick-sort,2200,1.847307
heap-sort,2200,2.578811
merge-sort,2200,6.314381
quick-sort,2210,1.727203
heap-sort,2210,2.882422
merge-sort,2210,6.365366
quick-sort,2220,1.775283
heap-sort,2220,6.424483
merge-sort,2220,6.506649
quick-sort,2230,1.82492
heap-sort,2230,2.608819
merge-sort,2230,6.244775
quick-sort,2240,1.887558
heap-sort,2240,2.522108
merge-sort,2240,6.5087
quick-sort,2250,1.913829
heap-sort,2250,2.61267
merge-sort,2250,6.626347
quick-sort,2260,1.91661
heap-sort,2260,2.540652
merge-sort,2260,6.290302
quick-sort,2270,1.867968
heap-sort,2270,2.894317
merge-sort,2270,6.460283
quick-sort,2280,1.845439
heap-sort,2280,2.575101
merge-sort,2280,6.58504
quick-sort,2290,2.263861
heap-sort,2290,2.619833
merge-sort,2290,6.389847
quick-sort,2300,1.809075
heap-sort,2300,2.725044
merge-sort,2300,6.438021
quick-sort,2310,1.865335
heap-sort,2310,2.537535
merge-sort,2310,6.659299
quick-sort,2320,2.587801
heap-sort,2320,3.292536
merge-sort,2320,9.757325
quick-sort,2330,1.822086
heap-sort,2330,2.752103
merge-sort,2330,6.526497
quick-sort,2340,1.912192
heap-sort,2340,3.025513
merge-sort,2340,6.929112
quick-sort,2350,1.948542
heap-sort,2350,2.682528
merge-sort,2350,6.662015
quick-sort,2360,2.44852
heap-sort,2360,2.698725
merge-sort,2360,6.871446
quick-sort,2370,1.939758
heap-sort,2370,2.917977
merge-sort,2370,6.727789
quick-sort,2380,1.782849
heap-sort,2380,2.560305
merge-sort,2380,7.061686
quick-sort,2390,1.790999
heap-sort,2390,2.637163
merge-sort,2390,6.77662
quick-sort,2400,1.84674
heap-sort,2400,2.600908
merge-sort,2400,6.829755
quick-sort,2410,2.238376
heap-sort,2410,2.795331
merge-sort,2410,6.966236
quick-sort,2420,1.933529
heap-sort,2420,2.645528
merge-sort,2420,6.764443
quick-sort,2430,1.880775
heap-sort,2430,2.80156
merge-sort,2430,7.027282
quick-sort,2440,2.140324
merge-sort,2440,7.193117
heap-sort,2440,7.275923
quick-sort,2450,1.931038
heap-sort,2450,2.556491
merge-sort,2450,6.958868
quick-sort,2460,1.846843
heap-sort,2460,2.643075
merge-sort,2460,6.885428
quick-sort,2470,1.81721
heap-sort,2470,2.615639
merge-sort,2470,7.315449
quick-sort,2480,1.880929
heap-sort,2480,2.703068
merge-sort,2480,7.42729
quick-sort,2490,1.959357
heap-sort,2490,2.791406
merge-sort,2490,7.578268
quick-sort,2500,1.92987
heap-sort,2500,2.693558
merge-sort,2500,6.987557
quick-sort,2510,1.910251
heap-sort,2510,2.768011
merge-sort,2510,6.945379
quick-sort,2520,1.93183
heap-sort,2520,3.034485
merge-sort,2520,7.010033
quick-sort,2530,2.401866
heap-sort,2530,2.764425
merge-sort,2530,7.442998
quick-sort,2540,2.262436
heap-sort,2540,2.943424
merge-sort,2540,6.992058
quick-sort,2550,2.318188
heap-sort,2550,4.21127
merge-sort,2550,8.10152
quick-sort,2560,2.109352
heap-sort,2560,2.834608
merge-sort,2560,7.245006
quick-sort,2570,2.434888
merge-sort,2570,7.870652
heap-sort,2570,8.176762
quick-sort,2580,2.369027
heap-sort,2580,5.049855
merge-sort,2580,7.435387
quick-sort,2590,2.422288
heap-sort,2590,3.209012
merge-sort,2590,7.162962
quick-sort,2600,2.013184
heap-sort,2600,2.815854
merge-sort,2600,7.29465
quick-sort,2610,2.716306
heap-sort,2610,2.9915
merge-sort,2610,7.30033
quick-sort,2620,2.617481
heap-sort,2620,2.832479
merge-sort,2620,7.746485
quick-sort,2630,3.179173
heap-sort,2630,3.437745
merge-sort,2630,7.325026
quick-sort,2640,2.033223
heap-sort,2640,2.911311
merge-sort,2640,7.923944
quick-sort,2650,2.121345
heap-sort,2650,3.629959
merge-sort,2650,7.606219
quick-sort,2660,2.249481
heap-sort,2660,2.808725
merge-sort,2660,7.256431
quick-sort,2670,2.041561
heap-sort,2670,3.529245
merge-sort,2670,7.802446
quick-sort,2680,2.183356
heap-sort,2680,3.901249
merge-sort,2680,7.815369
quick-sort,2690,2.08111
heap-sort,2690,2.931409
merge-sort,2690,7.49122
quick-sort,2700,2.29108
heap-sort,2700,3.01737
merge-sort,2700,7.473094
quick-sort,2710,2.018726
heap-sort,2710,2.844593
merge-sort,2710,7.548101
quick-sort,2720,2.057464
heap-sort,2720,4.803971
merge-sort,2720,8.084702
quick-sort,2730,2.104674
heap-sort,2730,2.947835
merge-sort,2730,7.543694
quick-sort,2740,2.037153
heap-sort,2740,2.990003
merge-sort,2740,7.582107
quick-sort,2750,2.091673
heap-sort,2750,2.936667
merge-sort,2750,7.738387
quick-sort,2760,2.211562
heap-sort,2760,3.570217
merge-sort,2760,7.70954
quick-sort,2770,2.076151
heap-sort,2770,2.943195
merge-sort,2770,7.878404
quick-sort,2780,2.178386
heap-sort,2780,3.190518
merge-sort,2780,7.741424
quick-sort,2790,2.133146
heap-sort,2790,3.165641
merge-sort,2790,7.983834
quick-sort,2800,2.438296
heap-sort,2800,3.185099
merge-sort,2800,7.829559
quick-sort,2810,2.073856
heap-sort,2810,3.063997
merge-sort,2810,7.80982
quick-sort,2820,2.014479
heap-sort,2820,3.046871
merge-sort,2820,7.688929
quick-sort,2830,2.02071
heap-sort,2830,3.026844
merge-sort,2830,8.009267
quick-sort,2840,2.32438
heap-sort,2840,3.686316
merge-sort,2840,7.902604
quick-sort,2850,2.161854
heap-sort,2850,2.903679
merge-sort,2850,8.009697
quick-sort,2860,2.089978
heap-sort,2860,3.076442
merge-sort,2860,8.463838
quick-sort,2870,2.449983
heap-sort,2870,3.010013
merge-sort,2870,8.652268
quick-sort,2880,2.268257
heap-sort,2880,3.212911
merge-sort,2880,8.007537
quick-sort,2890,2.09105
heap-sort,2890,3.188487
merge-sort,2890,8.023718
quick-sort,2900,2.239989
heap-sort,2900,3.182234
merge-sort,2900,8.040366
quick-sort,2910,2.577838
merge-sort,2910,9.960932
heap-sort,2910,12.739455
quick-sort,2920,2.365561
heap-sort,2920,3.372897
merge-sort,2920,7.827625
quick-sort,2930,2.170789
heap-sort,2930,3.153671
merge-sort,2930,8.094103
quick-sort,2940,2.696104
heap-sort,2940,3.225325
merge-sort,2940,8.165328
quick-sort,2950,2.249088
heap-sort,2950,3.187226
merge-sort,2950,8.66475
quick-sort,2960,2.198458
heap-sort,2960,3.614956
merge-sort,2960,8.271587
quick-sort,2970,2.222294
heap-sort,2970,3.584493
merge-sort,2970,8.437801
quick-sort,2980,2.497151
heap-sort,2980,3.392884
merge-sort,2980,8.190349
quick-sort,2990,2.28646
heap-sort,2990,3.115611
merge-sort,2990,8.358546
quick-sort,3000,2.268703
heap-sort,3000,3.202657
merge-sort,3000,8.41165
