algorithm,n,exectime (ms)
bubble-sort,440,27.015985
selection-sort,450,10.015094
insertion-sort,450,11.512663
bubble-sort,450,19.702688
selection-sort,460,10.033981
insertion-sort,460,11.392049
bubble-sort,460,20.758
selection-sort,470,10.921107
insertion-sort,470,11.517944
bubble-sort,470,21.76221
selection-sort,480,10.987471
insertion-sort,480,12.211783
bubble-sort,480,23.04648
selection-sort,490,11.198392
insertion-sort,490,12.484001
bubble-sort,490,23.48849
selection-sort,500,11.426855
insertion-sort,500,12.970951
bubble-sort,500,24.60151
selection-sort,510,11.750877
insertion-sort,510,13.543452
bubble-sort,510,24.980528
selection-sort,520,12.08316
insertion-sort,520,14.51048
bubble-sort,520,26.118587
selection-sort,530,13.196893
insertion-sort,530,14.9716
bubble-sort,530,29.306652
selection-sort,540,14.477895
insertion-sort,540,15.667455
bubble-sort,540,28.233553
selection-sort,550,13.695176
insertion-sort,550,15.481244
bubble-sort,550,29.27606
selection-sort,560,13.927692
insertion-sort,560,16.228088
bubble-sort,560,30.664318
selection-sort,570,15.71318
insertion-sort,570,16.374376
bubble-sort,570,30.94795
selection-sort,580,15.07348
insertion-sort,580,18.410671
bubble-sort,580,32.253544
selection-sort,590,15.948938
insertion-sort,590,19.458282
bubble-sort,590,35.460926
selection-sort,600,15.862904
insertion-sort,600,18.492008
bubble-sort,600,34.490105
selection-sort,610,17.348652
insertion-sort,610,19.050291
bubble-sort,610,35.52482
selection-sort,620,16.959808
insertion-sort,620,19.506289
bubble-sort,620,37.432693
selection-sort,630,17.789911
insertion-sort,630,20.488028
bubble-sort,630,42.202553
selection-sort,640,17.858143
insertion-sort,640,20.820112
bubble-sort,640,40.48525
selection-sort,650,18.943262
insertion-sort,650,21.454391
bubble-sort,650,41.0458
selection-sort,660,20.6428
insertion-sort,660,22.836975
bubble-sort,660,41.398403
selection-sort,670,19.58387
insertion-sort,670,23.440588
bubble-sort,670,44.151882
selection-sort,680,23.343025
insertion-sort,680,24.071848
bubble-sort,680,48.277622
insertion-sort,690,23.714174
selection-sort,690,27.016808
bubble-sort,690,47.34436
selection-sort,700,21.942623
insertion-sort,700,25.364054
bubble-sort,700,46.156757
selection-sort,710,22.301538
insertion-sort,710,24.979948
bubble-sort,710,49.908653
selection-sort,720,22.821724
insertion-sort,720,25.950666
bubble-sort,720,49.696865
selection-sort,730,23.231789
insertion-sort,730,26.846617
bubble-sort,730,51.048473
selection-sort,740,23.618198
insertion-sort,740,27.627796
bubble-sort,740,52.121628
selection-sort,750,23.886772
insertion-sort,750,28.303333
bubble-sort,750,54.37947
selection-sort,760,26.533054
insertion-sort,760,29.192959
bubble-sort,760,55.716084
insertion-sort,770,30.878489
selection-sort,770,38.326385
bubble-sort,770,57.508835
insertion-sort,780,29.983244
selection-sort,780,33.14234
bubble-sort,780,64.192085
selection-sort,790,31.841368
insertion-sort,790,34.882786
bubble-sort,790,61.70003
selection-sort,800,28.95306
insertion-sort,800,33.984653
bubble-sort,800,62.305016
selection-sort,810,29.500881
insertion-sort,810,33.709892
bubble-sort,810,63.157646
selection-sort,820,29.124865
insertion-sort,820,37.020245
bubble-sort,820,63.42184
selection-sort,830,34.609295
insertion-sort,830,36.09743
bubble-sort,830,64.92609
selection-sort,840,31.609167
insertion-sort,840,37.29312
bubble-sort,840,66.31147
selection-sort,850,33.009853
insertion-sort,850,35.40413
bubble-sort,850,68.834526
selection-sort,860,31.520893
insertion-sort,860,37.576885
bubble-sort,860,71.145805
selection-sort,870,32.573734
insertion-sort,870,38.26259
bubble-sort,870,71.3848
selection-sort,880,33.88877
insertion-sort,880,40.063442
bubble-sort,880,72.18928
selection-sort,890,35.74135
insertion-sort,890,38.42568
bubble-sort,890,76.041275
selection-sort,900,34.95072
insertion-sort,900,39.569565
bubble-sort,900,77.97521
selection-sort,910,35.62737
insertion-sort,910,42.518394
bubble-sort,910,78.53999
selection-sort,920,38.705856
insertion-sort,920,41.12029
bubble-sort,920,79.46587
selection-sort,930,36.725586
insertion-sort,930,42.437042
bubble-sort,930,86.46698
selection-sort,940,37.758102
insertion-sort,940,43.964146
bubble-sort,940,82.81888
selection-sort,950,40.706524
insertion-sort,950,45.11175
bubble-sort,950,84.362434
selection-sort,960,39.422092
insertion-sort,960,46.766796
bubble-sort,960,89.658325
selection-sort,970,40.183826
insertion-sort,970,46.073524
bubble-sort,970,96.84204
selection-sort,980,69.144356
insertion-sort,980,85.88049
bubble-sort,980,136.24147
selection-sort,990,49.66793
insertion-sort,990,53.927097
bubble-sort,990,93.457504
insertion-sort,1000,50.046864
selection-sort,1000,50.778397
bubble-sort,1000,97.1185
selection-sort,1010,43.17848
insertion-sort,1010,54.00277
bubble-sort,1010,99.103165
selection-sort,1020,45.103767
insertion-sort,1020,53.44556
bubble-sort,1020,100.86632
insertion-sort,1030,51.91908
selection-sort,1030,60.715504
bubble-sort,1030,100.40262
selection-sort,1040,50.675316
insertion-sort,1040,53.2308
bubble-sort,1040,104.64594
selection-sort,1050,47.069546
insertion-sort,1050,58.354156
bubble-sort,1050,105.44492
selection-sort,1060,48.27561
insertion-sort,1060,55.621284
bubble-sort,1060,105.32584
selection-sort,1070,48.26898
insertion-sort,1070,68.45352
bubble-sort,1070,128.42535
selection-sort,1080,51.347572
insertion-sort,1080,59.44549
bubble-sort,1080,114.12132
selection-sort,1090,51.41908
insertion-sort,1090,59.753212
bubble-sort,1090,114.907394
selection-sort,1100,53.169304
insertion-sort,1100,58.585236
bubble-sort,1100,115.98881
selection-sort,1110,52.563583
insertion-sort,1110,60.52868
bubble-sort,1110,116.65072
insertion-sort,1120,77.66801
selection-sort,1120,87.400475
bubble-sort,1120,120.52107
selection-sort,1130,53.45413
insertion-sort,1130,66.60927
bubble-sort,1130,120.51564
selection-sort,1140,58.080708
insertion-sort,1140,63.04722
bubble-sort,1140,123.8772
selection-sort,1150,56.239426
insertion-sort,1150,63.319595
bubble-sort,1150,125.22109
selection-sort,1160,56.611855
insertion-sort,1160,69.49325
bubble-sort,1160,128.89583
selection-sort,1170,58.169167
insertion-sort,1170,66.22541
bubble-sort,1170,127.95427
selection-sort,1180,61.044937
insertion-sort,1180,67.069176
bubble-sort,1180,135.41277
selection-sort,1190,61.04674
insertion-sort,1190,69.24007
bubble-sort,1190,136.04245
selection-sort,1200,61.982044
insertion-sort,1200,69.90447
bubble-sort,1200,134.61191
insertion-sort,1210,79.36752
selection-sort,1210,94.535255
bubble-sort,1210,162.21307
selection-sort,1220,66.85994
insertion-sort,1220,83.40841
bubble-sort,1220,143.64206
selection-sort,1230,65.79744
insertion-sort,1230,72.721
bubble-sort,1230,143.19267
selection-sort,1240,65.84289
insertion-sort,1240,73.03145
bubble-sort,1240,146.08061
selection-sort,1250,98.2266
insertion-sort,1250,121.29966
bubble-sort,1250,168.38661
selection-sort,1260,66.62148
insertion-sort,1260,82.64598
bubble-sort,1260,149.25665
selection-sort,1270,68.30317
insertion-sort,1270,77.764755
bubble-sort,1270,149.55103
selection-sort,1280,68.797325
insertion-sort,1280,82.63363
bubble-sort,1280,152.05133
selection-sort,1290,76.175316
insertion-sort,1290,97.39778
bubble-sort,1290,178.36989
selection-sort,1300,71.906265
insertion-sort,1300,88.49303
bubble-sort,1300,158.4152
insertion-sort,1310,83.65494
selection-sort,1310,90.404015
bubble-sort,1310,167.75908
selection-sort,1320,76.84231
insertion-sort,1320,84.10449
bubble-sort,1320,162.982
selection-sort,1330,74.15899
insertion-sort,1330,86.06069
bubble-sort,1330,174.20767
selection-sort,1340,77.270584
insertion-sort,1340,85.42889
bubble-sort,1340,169.5861
selection-sort,1350,77.27214
insertion-sort,1350,105.15994
bubble-sort,1350,179.14774
selection-sort,1360,101.55043
insertion-sort,1360,149.59879
bubble-sort,1360,195.46526
selection-sort,1370,125.21985
insertion-sort,1370,126.34195
bubble-sort,1370,177.13994
selection-sort,1380,80.71579
insertion-sort,1380,101.5758
bubble-sort,1380,193.21004
selection-sort,1390,86.39456
insertion-sort,1390,92.858536
bubble-sort,1390,178.33556
selection-sort,1400,84.29419
insertion-sort,1400,94.41619
bubble-sort,1400,187.36198
selection-sort,1410,82.755135
insertion-sort,1410,96.393456
bubble-sort,1410,187.983
selection-sort,1420,87.73547
insertion-sort,1420,95.80785
bubble-sort,1420,186.73982
insertion-sort,1430,97.11459
selection-sort,1430,97.22778
bubble-sort,1430,204.97113
selection-sort,1440,90.637955
insertion-sort,1440,99.01293
bubble-sort,1440,193.75441
insertion-sort,1450,103.82607
selection-sort,1450,106.09872
bubble-sort,1450,204.05156
selection-sort,1460,91.69974
insertion-sort,1460,103.36641
bubble-sort,1460,206.82184
selection-sort,1470,92.91027
insertion-sort,1470,103.599335
bubble-sort,1470,202.58162
selection-sort,1480,97.42601
insertion-sort,1480,108.08316
bubble-sort,1480,205.6194
selection-sort,1490,95.280014
insertion-sort,1490,113.77956
bubble-sort,1490,238.12709
insertion-sort,1500,149.33635
selection-sort,1500,153.47882
bubble-sort,1500,232.0594
selection-sort,1510,114.21854
insertion-sort,1510,125.5378
bubble-sort,1510,212.05806
insertion-sort,1520,108.66589
selection-sort,1520,112.14333
bubble-sort,1520,223.18755
selection-sort,1530,101.60934
insertion-sort,1530,123.400444
bubble-sort,1530,244.63751
selection-sort,1540,105.617294
insertion-sort,1540,121.91552
bubble-sort,1540,223.09686
insertion-sort,1550,113.29549
selection-sort,1550,117.06851
bubble-sort,1550,227.97377
insertion-sort,1560,115.52402
selection-sort,1560,134.90657
bubble-sort,1560,242.23747
selection-sort,1570,143.31184
insertion-sort,1570,144.5449
bubble-sort,1570,244.73401
selection-sort,1580,105.33889
insertion-sort,1580,117.332504
bubble-sort,1580,233.9518
selection-sort,1590,105.94237
insertion-sort,1590,120.046524
bubble-sort,1590,237.32654
selection-sort,1600,111.09503
insertion-sort,1600,124.03386
bubble-sort,1600,235.88997
selection-sort,1610,107.169136
insertion-sort,1610,135.8201
bubble-sort,1610,266.42062
insertion-sort,1620,139.96994
selection-sort,1620,179.8155
bubble-sort,1620,337.00122
selection-sort,1630,137.50615
insertion-sort,1630,215.45247
bubble-sort,1630,272.12445
insertion-sort,1640,186.72147
selection-sort,1640,342.81943
bubble-sort,1640,440.651
insertion-sort,1650,187.53546
selection-sort,1650,209.37616
bubble-sort,1650,426.15253
selection-sort,1660,265.74042
insertion-sort,1660,346.71243
bubble-sort,1660,562.05444
selection-sort,1670,251.44666
insertion-sort,1670,265.08502
bubble-sort,1670,448.9706
selection-sort,1680,134.2534
insertion-sort,1680,198.93242
bubble-sort,1680,369.9361
selection-sort,1690,154.99538
insertion-sort,1690,216.32285
bubble-sort,1690,319.7219
insertion-sort,1700,211.77267
selection-sort,1700,285.09396
bubble-sort,1700,421.9818
insertion-sort,1710,200.10617
selection-sort,1710,246.87717
bubble-sort,1710,369.9117
selection-sort,1720,208.73274
insertion-sort,1720,251.68625
bubble-sort,1720,422.90784
selection-sort,1730,217.64987
insertion-sort,1730,222.22238
bubble-sort,1730,326.42078
insertion-sort,1740,163.90051
selection-sort,1740,220.1857
bubble-sort,1740,357.46295
selection-sort,1750,231.77657
insertion-sort,1750,283.3968
bubble-sort,1750,406.68524
selection-sort,1760,201.82016
insertion-sort,1760,217.5519
bubble-sort,1760,380.78174
insertion-sort,1770,174.8966
selection-sort,1770,217.86954
bubble-sort,1770,348.18582
insertion-sort,1780,160.00682
selection-sort,1780,229.60344
bubble-sort,1780,402.18723
selection-sort,1790,181.71686
insertion-sort,1790,213.69254
bubble-sort,1790,362.56113
selection-sort,1800,170.67894
insertion-sort,1800,290.14124
bubble-sort,1800,375.2649
selection-sort,1810,241.47911
insertion-sort,1810,268.86703
bubble-sort,1810,507.08618
insertion-sort,1820,250.08989
selection-sort,1820,338.78012
bubble-sort,1820,485.5727
selection-sort,1830,179.09637
insertion-sort,1830,205.20297
bubble-sort,1830,390.38818
insertion-sort,1840,181.78485
selection-sort,1840,183.56897
bubble-sort,1840,348.3395
insertion-sort,1850,222.3744
selection-sort,1850,234.24857
bubble-sort,1850,353.1666
insertion-sort,1860,176.63803
selection-sort,1860,213.40395
bubble-sort,1860,368.84464
selection-sort,1870,160.69006
insertion-sort,1870,167.47772
bubble-sort,1870,353.30673
selection-sort,1880,154.68681
insertion-sort,1880,169.9571
bubble-sort,1880,337.1059
insertion-sort,1890,193.21497
selection-sort,1890,225.91154
bubble-sort,1890,418.48383
insertion-sort,1900,187.50513
selection-sort,1900,263.3975
bubble-sort,1900,408.55478
selection-sort,1910,254.65103
insertion-sort,1910,287.20544
bubble-sort,1910,491.94678
insertion-sort,1920,210.98709
selection-sort,1920,236.56042
bubble-sort,1920,488.6882
selection-sort,1930,237.82434
insertion-sort,1930,318.73917
bubble-sort,1930,406.40506
insertion-sort,1940,239.18008
selection-sort,1940,240.38396
bubble-sort,1940,475.52127
selection-sort,1950,248.20549
insertion-sort,1950,266.0584
bubble-sort,1950,425.142
selection-sort,1960,257.22424
insertion-sort,1960,282.5124
bubble-sort,1960,420.40958
insertion-sort,1970,235.77257
selection-sort,1970,242.87451
bubble-sort,1970,480.67307
selection-sort,1980,273.48477
insertion-sort,1980,277.87143
bubble-sort,1980,454.51166
insertion-sort,1990,204.18124
selection-sort,1990,229.54323
bubble-sort,1990,468.97363
insertion-sort,2000,213.40964
selection-sort,2000,217.94983
bubble-sort,2000,461.80203
insertion-sort,2010,235.02478
selection-sort,2010,280.6912
bubble-sort,2010,393.7989
selection-sort,2020,259.11496
insertion-sort,2020,269.2372
bubble-sort,2020,452.0882
selection-sort,2030,286.77335
insertion-sort,2030,301.8398
bubble-sort,2030,446.44778
selection-sort,2040,202.85487
insertion-sort,2040,278.64493
bubble-sort,2040,460.56418
selection-sort,2050,256.55396
insertion-sort,2050,284.70148
bubble-sort,2050,448.12674
insertion-sort,2060,220.6068
selection-sort,2060,261.04694
bubble-sort,2060,452.52908
selection-sort,2070,302.95587
insertion-sort,2070,390.3611
bubble-sort,2070,513.79785
selection-sort,2080,209.68271
insertion-sort,2080,311.21558
bubble-sort,2080,423.3348
selection-sort,2090,191.9806
insertion-sort,2090,342.6726
bubble-sort,2090,533.08075
selection-sort,2100,270.28894
insertion-sort,2100,280.3461
bubble-sort,2100,452.42914
insertion-sort,2110,282.5514
selection-sort,2110,307.58203
bubble-sort,2110,472.74576
selection-sort,2120,299.4465
insertion-sort,2120,324.5214
bubble-sort,2120,466.2607
selection-sort,2130,253.09373
insertion-sort,2130,309.0039
bubble-sort,2130,486.25317
insertion-sort,2140,246.96623
selection-sort,2140,251.22406
bubble-sort,2140,537.2145
insertion-sort,2150,270.22913
selection-sort,2150,278.1986
bubble-sort,2150,472.158
insertion-sort,2160,260.62088
selection-sort,2160,268.79742
bubble-sort,2160,489.39435
selection-sort,2170,264.14877
insertion-sort,2170,268.5328
bubble-sort,2170,476.8191
insertion-sort,2180,243.23749
selection-sort,2180,263.9709
bubble-sort,2180,528.2673
selection-sort,2190,280.24063
insertion-sort,2190,308.0333
bubble-sort,2190,482.46857
selection-sort,2200,270.3542
insertion-sort,2200,337.294
bubble-sort,2200,501.34055
selection-sort,2210,276.1168
insertion-sort,2210,291.82736
bubble-sort,2210,530.3743
selection-sort,2220,270.74985
insertion-sort,2220,329.1894
bubble-sort,2220,551.03503
selection-sort,2230,228.28674
insertion-sort,2230,336.75107
bubble-sort,2230,509.88684
selection-sort,2240,239.55373
insertion-sort,2240,300.9223
bubble-sort,2240,559.1408
insertion-sort,2250,280.88226
selection-sort,2250,296.89017
bubble-sort,2250,558.3685
selection-sort,2260,242.85744
insertion-sort,2260,294.65036
bubble-sort,2260,547.44324
selection-sort,2270,396.812
insertion-sort,2270,415.70236
bubble-sort,2270,643.83966
selection-sort,2280,277.51147
insertion-sort,2280,305.6612
bubble-sort,2280,606.49664
insertion-sort,2290,286.21902
selection-sort,2290,294.88138
bubble-sort,2290,572.3102
selection-sort,2300,280.03516
insertion-sort,2300,330.58847
bubble-sort,2300,587.94995
insertion-sort,2310,326.4707
selection-sort,2310,369.42822
bubble-sort,2310,544.2737
insertion-sort,2320,297.87823
selection-sort,2320,322.76416
bubble-sort,2320,580.7361
insertion-sort,2330,286.95132
selection-sort,2330,339.10803
bubble-sort,2330,566.00757
selection-sort,2340,303.16043
insertion-sort,2340,318.10263
bubble-sort,2340,633.9181
selection-sort,2350,327.76443
insertion-sort,2350,375.24246
bubble-sort,2350,590.0498
insertion-sort,2360,270.62854
selection-sort,2360,306.22894
bubble-sort,2360,632.06464
insertion-sort,2370,369.18802
selection-sort,2370,373.96573
bubble-sort,2370,587.92206
selection-sort,2380,271.2264
insertion-sort,2380,345.29144
bubble-sort,2380,633.7868
selection-sort,2390,315.4771
insertion-sort,2390,316.87558
bubble-sort,2390,634.5569
selection-sort,2400,306.45856
insertion-sort,2400,326.27817
bubble-sort,2400,626.84155
selection-sort,2410,296.76328
insertion-sort,2410,371.82144
bubble-sort,2410,628.2521
selection-sort,2420,350.717
insertion-sort,2420,399.4144
bubble-sort,2420,648.2611
selection-sort,2430,366.9914
insertion-sort,2430,392.8008
bubble-sort,2430,684.085
selection-sort,2440,316.8933
insertion-sort,2440,380.99518
bubble-sort,2440,635.5019
selection-sort,2450,325.69162
insertion-sort,2450,349.80588
bubble-sort,2450,648.9535
selection-sort,2460,276.91074
insertion-sort,2460,354.8681
bubble-sort,2460,685.72034
insertion-sort,2470,321.25595
selection-sort,2470,373.50186
bubble-sort,2470,648.9466
selection-sort,2480,336.08377
insertion-sort,2480,396.01685
bubble-sort,2480,635.3312
selection-sort,2490,374.94293
insertion-sort,2490,407.67853
bubble-sort,2490,721.45013
insertion-sort,2500,299.78543
selection-sort,2500,373.94513
bubble-sort,2500,711.7324
selection-sort,2510,331.3806
insertion-sort,2510,388.07843
bubble-sort,2510,689.49915
insertion-sort,2520,298.8236
selection-sort,2520,389.22617
bubble-sort,2520,721.2979
selection-sort,2530,335.72363
insertion-sort,2530,411.16904
bubble-sort,2530,689.16046
insertion-sort,2540,348.8301
selection-sort,2540,365.56772
bubble-sort,2540,769.19086
selection-sort,2550,339.76428
insertion-sort,2550,394.50293
bubble-sort,2550,673.9873
selection-sort,2560,366.15875
insertion-sort,2560,423.002
bubble-sort,2560,667.5556
selection-sort,2570,466.6422
insertion-sort,2570,510.8157
bubble-sort,2570,892.0608
selection-sort,2580,411.26413
insertion-sort,2580,450.94144
bubble-sort,2580,762.4488
insertion-sort,2590,439.21237
selection-sort,2590,493.09705
bubble-sort,2590,845.6357
selection-sort,2600,390.29977
insertion-sort,2600,498.38962
bubble-sort,2600,770.5542
insertion-sort,2610,432.12726
selection-sort,2610,459.8405
bubble-sort,2610,820.1742
selection-sort,2620,379.46838
insertion-sort,2620,431.4729
bubble-sort,2620,801.0744
selection-sort,2630,391.49475
insertion-sort,2630,459.09293
bubble-sort,2630,728.0946
insertion-sort,2640,397.65527
selection-sort,2640,405.30814
bubble-sort,2640,735.49554
selection-sort,2650,307.931
insertion-sort,2650,427.38034
bubble-sort,2650,804.5069
selection-sort,2660,397.68637
insertion-sort,2660,467.94595
bubble-sort,2660,777.37445
insertion-sort,2670,448.26767
selection-sort,2670,506.67203
bubble-sort,2670,754.53827
selection-sort,2680,431.00626
insertion-sort,2680,463.5462
bubble-sort,2680,728.8418
insertion-sort,2690,414.35666
selection-sort,2690,433.70053
bubble-sort,2690,825.02985
selection-sort,2700,425.157
insertion-sort,2700,494.75882
bubble-sort,2700,768.96185
selection-sort,2710,390.10318
insertion-sort,2710,415.3158
bubble-sort,2710,814.6127
selection-sort,2720,338.55377
insertion-sort,2720,466.6917
bubble-sort,2720,886.50824
selection-sort,2730,433.31876
insertion-sort,2730,523.4597
bubble-sort,2730,900.9553
insertion-sort,2740,491.97955
selection-sort,2740,514.5949
bubble-sort,2740,819.6604
selection-sort,2750,415.64203
insertion-sort,2750,504.5512
bubble-sort,2750,781.1688
selection-sort,2760,327.70554
insertion-sort,2760,374.00375
bubble-sort,2760,764.20624
selection-sort,2770,350.8523
insertion-sort,2770,424.18607
bubble-sort,2770,777.13275
selection-sort,2780,359.16852
insertion-sort,2780,413.90192
bubble-sort,2780,786.48663
selection-sort,2790,384.5498
insertion-sort,2790,391.99338
bubble-sort,2790,823.08514
selection-sort,2800,489.48413
insertion-sort,2800,498.26337
bubble-sort,2800,863.1494
selection-sort,2810,359.91675
insertion-sort,2810,396.74066
bubble-sort,2810,769.03687
selection-sort,2820,341.26138
insertion-sort,2820,368.9903
bubble-sort,2820,743.7217
insertion-sort,2830,415.58646
selection-sort,2830,477.61768
bubble-sort,2830,818.4002
insertion-sort,2840,383.7654
selection-sort,2840,399.19882
bubble-sort,2840,801.2639
selection-sort,2850,339.03595
insertion-sort,2850,378.28052
bubble-sort,2850,764.7858
selection-sort,2860,348.4388
insertion-sort,2860,370.72015
bubble-sort,2860,777.53143
selection-sort,2870,354.834
insertion-sort,2870,377.66888
bubble-sort,2870,779.52325
selection-sort,2880,347.42624
insertion-sort,2880,391.4784
bubble-sort,2880,798.2169
selection-sort,2890,355.97214
insertion-sort,2890,386.77887
bubble-sort,2890,781.391
selection-sort,2900,357.07114
insertion-sort,2900,383.81573
bubble-sort,2900,784.84814
selection-sort,2910,358.5248
insertion-sort,2910,387.27112
bubble-sort,2910,818.9321
insertion-sort,2920,395.85672
selection-sort,2920,456.86542
bubble-sort,2920,882.8879
insertion-sort,2930,615.0795
selection-sort,2930,677.5451
bubble-sort,2930,1174.9929
insertion-sort,2940,634.9534
selection-sort,2940,648.6708
bubble-sort,2940,1071.8328
selection-sort,2950,500.77557
insertion-sort,2950,576.23444
bubble-sort,2950,1024.7378
selection-sort,2960,592.6834
insertion-sort,2960,631.0336
bubble-sort,2960,998.6204
selection-sort,2970,505.3188
insertion-sort,2970,577.99396
bubble-sort,2970,1044.6578
selection-sort,2980,449.33948
insertion-sort,2980,517.28253
bubble-sort,2980,947.44727
insertion-sort,2990,584.2075
selection-sort,2990,608.8834
bubble-sort,2990,1018.1422
insertion-sort,3000,470.59546
selection-sort,3000,473.72855
bubble-sort,3000,1003.64966
